galaxy_id,log_baryonic_mass,parameter_A,parameter_alpha,v_obs_flat
F568-V1_rotmod.csv,9.992014756130526,58.43557236524693,0.2983441916393563,118.0
D631-7_rotmod.csv,8.8186948484561,22.261905052260342,0.5304648898121501,57.3
UGC00128_rotmod.csv,10.44626823669471,65.1367110578194,0.19334478071163141,125.0
D631-7.csv,8.656555734034454,22.261905052260342,0.5304648898121501,57.3
UGC05918_rotmod.csv,8.741848721410099,25.59534384018978,0.39340639177087877,44.5
UGC06667_rotmod.csv,9.33108525633345,36.43526307440949,0.4523639339684,85.7
UGC05999_rotmod.csv,10.098484877104358,31.812525099743368,0.4280201871773062,100.0
UGC02487_rotmod.csv,11.737675103468485,447.6692308268622,-0.06651860897299174,333.0
UGC00634_rotmod.csv,9.94731943506095,47.49101466285453,0.29992003299677444,107.5
NGC3917_rotmod.csv,10.484007219378599,55.83395333695337,0.3749751826830342,137.0
NGC2976_rotmod.csv,9.522963873573422,51.69722902700679,0.7699364629814244,85.3
F568-1_rotmod.csv,10.164117593223025,51.07706167790006,0.42861003056815555,142.0
NGC4559_rotmod.csv,10.527617457182673,71.44836040341747,0.19938011326456156,119.0
NGC3953_rotmod.csv,11.254299397430588,167.27150062409584,0.11276025865015483,215.0
UGC07323_rotmod.csv,9.78746038138204,31.96508150953064,0.5779815823682302,85.6
NGC4013_rotmod.csv,10.93277262819148,226.75766361036287,-0.08597546200753171,170.0
D564-8_rotmod.csv,7.8873398313924445,14.60485418113899,0.5231784660038592,25.0
UGC02885_rotmod.csv,11.763377231459915,265.6622364139234,0.022050977732812026,298.0
UGC00731_rotmod.csv,9.563431818180254,36.268794306650875,0.3236666121401833,73.9
NGC2998_rotmod.csv,11.316308090862025,142.9860098238457,0.12445202102184791,203.0
UGC12506_rotmod.csv,11.374414527136118,165.2322851725978,0.10928786347860345,225.0
UGC05253_rotmod.csv,11.319751762985288,245.04215350295357,-0.008667138193001135,218.0
NGC6015_rotmod.csv,10.63483983283061,106.80266987185925,0.13704471274983637,152.0
DDO168_rotmod.csv,8.876253264470986,28.320321031552744,0.5220883228776054,52.0
NGC0024_rotmod.csv,9.724804223228787,74.38805005114553,0.22918127039442204,110.0
D512-2.csv,7.7655354625052295,25.34798457288682,0.30918429087908916,35.9
UGC06614_rotmod.csv,11.262815330403923,153.58358645965137,0.06600555518743233,204.0
F583-4_rotmod.csv,9.433572204191089,30.437370767963092,0.422267388212345,69.9
IC4202_rotmod.csv,11.35633438377543,123.27915341712779,0.24436827713554182,247.0
UGC06818_rotmod.csv,9.426405683258798,22.016803300196973,0.648121543280729,74.4
UGC12732_rotmod.csv,9.934539317671117,41.197154489967225,0.31110111276398184,98.0
NGC3893_rotmod.csv,10.85621488606359,163.0982515066014,0.04287288500098355,167.0
UGC05005_rotmod.csv,10.163249449417819,27.925701093154437,0.4100294927697617,99.1
UGC05750_rotmod.csv,10.041605587947164,22.99735572231234,0.45199010425580977,78.9
NGC4157_rotmod.csv,11.086087964699507,142.01013388754473,0.09463486214088328,185.0
UGC07232_rotmod.csv,8.157373006480203,50.533349402528145,0.7320426631387963,44.0
NGC2955_rotmod.csv,11.57702889810511,222.23507183215315,0.058313843061775075,227.0
NGC2841_rotmod.csv,11.415625481676884,339.6019098433411,-0.043321707027840946,294.0
NGC4183_rotmod.csv,10.261553545796792,68.11020273611753,0.18563644974939617,113.0
NGC4068_rotmod.csv,8.690747182141338,20.746373678971437,0.8537096129440618,41.9
F583-1_rotmod.csv,9.846201472849815,29.91835456684929,0.4385818956844708,85.8
UGC03205_rotmod.csv,11.128554487084342,183.4494149148947,0.07666158426535465,220.0
UGC07125_rotmod.csv,9.909963207136803,31.236141773424084,0.27572096968483956,64.9
D564-8.csv,7.548723339073472,14.60485418113899,0.5231784660038592,25.0
NGC4138_rotmod.csv,10.678320744221718,218.1695046980747,-0.12738565343456587,150.0
UGC07603_rotmod.csv,8.843895563892806,41.479402967201395,0.35749823192279084,64.0
NGC5371_rotmod.csv,11.582852463526008,221.57204545340835,-0.00033954561813105943,213.0
UGC12632_rotmod.csv,9.624921843812418,34.86259042707992,0.3407872778277688,73.1
UGC02023_rotmod.csv,9.178289989824448,19.243845808043066,0.8337558703143533,58.8
NGC5033_rotmod.csv,11.125390652815426,224.8638669869575,-0.022806202618446417,196.0
UGC04305_rotmod.csv,9.273780352237393,23.2448056169028,0.28948394702663977,33.0
UGCA442_rotmod.csv,8.762619087136716,28.000876607494305,0.4355400497536614,56.5
UGC09133_rotmod.csv,11.547587668388294,300.6210875375692,-0.04960270411629754,229.0
